grid side,n quadrants,n pairs per quadrant,n agents,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
60,6,150,4500,750,-1,10,10,758.3658908121288,"[1.2943362854421139, 1.6786376107484102]","[6.561771413311362, 748.8311455026269]",OPTIMAL,693.0,693.0,6,"[750, 750, 750, 750, 750, 750]",0.9999831657022568,"[0.9999400851107383, 0.9999687818516992, 0.9999918816291539, 0.9999917439311246, 0.9999304397966767, 0.9999725318586098]",0.9999304397966768,2.960148158670781e-06,0.0054943011002185,"[0.2507110242393422, 0.19757572414237173, 0.25892520181107126, 0.18220210908254386, 0.1380004588491431, 0.3007267808575017]","[188.03326817950668, 148.1817931067788, 194.19390135830346, 136.6515818119079, 103.50034413685732, 225.5450856431263]","[2.189583333333333, 1.7010697032436162, 2.15625, 1.7520833333333337, 1.625, 2.020833333333333]",996.1059742364798,2.189583333333333,0.0,0.0,0.0,"[0.4491025749593973, 0.15281901881098747, 0.15632818453013897, 0.4455474391579628, 0.1574979741126299, 0.1574649792164564]","[179.27471137046814, 25.82036527991295, 28.331027384847403, 65.23782478645444, 3.3985622953623533, 385.9194051604718]",,,,,693.0,693.0,691.128915309906,0.0,1.0972857219728296
60,6,150,4500,750,-1,10,11,942.1913250964136,[0.9962018374353647],[941.1951232589781],OPTIMAL,651.0,651.0,6,"[750, 750, 750, 750, 750, 750]",0.9999752824803608,"[0.9999037546321051, 0.9999862424667778, 0.9998848264779628, 0.9999931245993022, 0.999961245870304, 0.9999939024470165]",0.9998848264779628,1.0398860398860398e-05,0.0074212234491277,"[0.42177451380200737, 0.20520351709482137, 0.43279110794693315, 0.2748866610081612, 0.2386089173878075, 0.32561744409651266]","[316.3308853515055, 153.90263782111603, 324.59333096019986, 206.16499575612093, 178.95668804085562, 244.2130830723845]","[2.918300653594771, 1.9922459893048128, 2.390909090909091, 2.4, 1.731818181818182, 1.8944444444444444]",1424.1616210021807,2.918300653594771,0.0,0.0,0.0,"[0.12059713527560234, 0.40521339513361454, 0.12245922349393368, 0.11338712647557259, 0.40344518050551414, 0.11400855332612991]","[494.13905983790755, 1.9150178488343954, 1062.1393748242408, 2.7178611401468515, 13.453848598524928, 35.50039632059634]",,,,,651.0,651.0,1612.7002647873014,0.0,0.5842321388969814
60,6,150,4500,750,-1,10,12,299.41133628599346,[1.143808564171195],[298.26752772182226],OPTIMAL,599.0,599.0,6,"[750, 750, 750, 750, 750, 750]",0.9999497707000796,"[0.9998152083273566, 1.0, 0.9996875320119059, 0.9999971568030138, 0.9999095226790823, 1.0]",0.999687532011906,1.990013396663013e-05,0.0068235298828705,"[0.3575089046579323, 0.24615084714620317, 0.2638306682853897, 0.2336098935875151, 0.25041217769158947, 0.3424867459550965]","[268.1316784934492, 184.61313535965238, 197.87300121404226, 175.20742019063633, 187.80913326869208, 256.86505946632235]","[2.2, 2.056643356643357, 1.6921850079744818, 2.15, 2.01078431372549, 2.15]",1270.4994279927932,2.2,0.0,0.0,0.0,"[0.1261651199311018, 0.11447136849164963, 0.11643644981086254, 0.4074484873563051, 0.11951917968690395, 0.11673837900161743]","[3.6200552731752396, 7.528258113190532, 7.142378935590386, 29.498907886445522, 41.059378104284406, 10.89275791309774]",,,,,599.0,599.0,102.32279112190008,0.0,2.92614512371243
60,6,150,4500,750,-1,10,13,1801.7256499268117,[1.0048185959458351],[1800.7208313308656],TIME_LIMIT,568.0,572.0,6,"[750, 750, 750, 750, 750, 750]",0.9999964561930976,"[1.0, 0.9999872127565196, 1.0, 0.9999910873891789, 0.9999786744278657, 1.0]",0.9999786744278656,1.1655011655011657e-06,0.0055214443039273,"[0.36039097258389907, 0.2283940308057954, 0.3908187608962779, 0.3586018294172488, 0.2881749248667408, 0.31735026106504444]","[270.2932294379243, 171.29552310434656, 293.1140706722084, 268.95137206293657, 216.1311936500556, 238.0126957987833]","[2.118181818181818, 1.95, 2.6, 1.9, 2.0, 2.1227272727272726]",1457.7980847262563,2.6,1.3642420526593924e-12,3.0316490059097607e-16,9.35823737835842e-16,"[0.394385177642107, 0.12403255514800549, 0.1137105394154787, 0.39814124442636967, 0.1214534379541874, 0.11461515352129936]","[27.974042497575283, 26.223836118355393, 30.63889941200614, 197.30264315754175, 163.14473488368094, 5.212259581312537]",,,,,572.0,572.0,453.4058851785958,0.0,3.9737588523296634
60,6,150,4500,750,-1,10,14,94.59569631516932,[0.9992409590631723],[93.59645535610616],OPTIMAL,601.0,601.0,6,"[750, 750, 750, 750, 750, 750]",0.9999945721438468,"[0.9999689159406956, 1.0, 0.9999656920613238, 1.0, 1.0, 1.0]",0.9999656920613238,3.140096618357488e-06,0.0076429322608486,"[0.3990037141650917, 0.275019914996611, 0.28530259804844205, 0.33173520621392144, 0.35004367157660016, 0.28093810505849465]","[299.2527856238188, 206.26493624745825, 213.97694853633152, 248.80140466044108, 262.5327536824501, 210.703578793871]","[2.5245989304812833, 1.95, 2.5984126984126985, 2.0, 2.2, 1.8025252525252526]",1441.5324075443705,2.5984126984126985,0.0,0.0,0.0,"[0.40285063721239567, 0.11983108520507812, 0.1170036643743515, 0.39676507003605366, 0.12452482432126999, 0.11440730839967728]","[68.82566456310451, 22.008245676755905, 2.3455934170633554, 16.634205223992467, 3.0897351056337357, 22.58609434403479]",,,,,601.0,601.0,138.36993743665516,0.0,0.6836434132123144
60,9,150,6750,750,-1,10,15,1801.944665407762,[1.6369243636727333],[1800.3077410440892],TIME_LIMIT,1061.0,1066.0,9,"[750, 750, 750, 750, 750, 750, 750, 750, 750]",0.9999690535859768,"[1.0, 0.9999886688498668, 0.9998707210205829, 1.0, 0.9998482664891333, 0.9999938060423698, 0.9999935103655848, 0.999714517230133, 1.0]",0.999714517230133,1.4197530864197532e-05,0.0048032911877963,"[0.4649204604261647, 0.28544435768809834, 0.41019298543882926, 0.38757617968135877, 0.2432624986239537, 0.4891585550802976, 0.3752654154068709, 0.45310581921119986, 0.38221055575171187]","[348.69034531962353, 214.08326826607376, 307.64473907912196, 290.6821347610191, 182.44687396796527, 366.8689163102232, 281.4490615551532, 339.8293644083999, 286.6579168137839]","[2.3, 2.1, 2.35, 2.197712418300654, 2.1029891304347825, 2.8, 2.4606951871657756, 2.15, 2.063194444444444]",2618.352620481359,2.8,0.0,0.0,0.0,"[0.11397452838718891, 0.12022896483540535, 0.12049105949699879, 0.44863389804959297, 0.11461123079061508, 0.11680053919553757, 0.12113049067556858, 0.11243008449673653, 0.48027973994612694]","[17.502844704315066, 4.4052759893238544, 143.12190946377814, 224.710434705019, 3.8323912154883146, 838.371528621763, 207.82859954982996, 171.14011100679636, 11.343531103804708]",,,,,1065.0,1065.0,1627.0460023880005,-0.0938086303939962,1.107494602342567
60,9,150,6750,750,-1,10,16,1802.2304262015969,[1.695392681285739],[1800.5350335203111],TIME_LIMIT,959.0,960.0,9,"[750, 750, 750, 750, 750, 750, 750, 750, 750]",0.999908740404519,"[0.9998901663653716, 1.0, 1.0, 1.0, 0.9999942477196667, 0.9992850010258444, 1.0, 0.999898372670702, 0.9992574802381383]",0.9992574802381384,6.708059787769934e-05,0.0064390618243145,"[0.23979116539996198, 0.3051359206096047, 0.40348911192293546, 0.2665709165929419, 0.43995960898979447, 0.2881429368642653, 0.3105487552186974, 0.32610335655654676, 0.29665641445209706]","[179.8433740499715, 228.85194045720354, 302.6168339422016, 199.92818744470642, 329.96970674234586, 216.10720264819898, 232.91156641402304, 244.57751741741006, 222.4923108390728]","[1.9, 2.155263157894737, 2.1136363636363638, 1.85, 2.55, 2.0823232323232324, 2.05, 1.8727272727272726, 2.3]",2157.298639955136,2.55,2.273736754432321e-12,3.3684988954552896e-16,1.0539740360094752e-15,"[0.4800920598208904, 0.11729538440704346, 0.1115319337695837, 0.12130535952746868, 0.47491103410720825, 0.11356906034052372, 0.12006662227213383, 0.11670559830963612, 0.11907324008643627]","[2.130482880398631, 24.86467867717147, 21.436533836647868, 2.1431107353419065, 315.6108923200518, 5.734406569972634, 31.05060126259923, 11.472541194409132, 14.005245154723525]",,,,,960.0,960.0,432.9368035420776,0.0,4.162802541748882
60,9,150,6750,750,-1,10,17,161.40963424928486,[1.7494400162249804],[159.66019423305988],OPTIMAL,915.0,915.0,9,"[750, 750, 750, 750, 750, 750, 750, 750, 750]",0.999987637150362,"[0.9999165929191979, 0.9999746754288457, 0.9999147608162897, 1.0, 1.0, 1.0, 1.0, 0.9999769305736063, 1.0]",0.9999147608162896,8.02469135802469e-06,0.0057066212940212,"[0.32411201652066857, 0.3217855411702161, 0.28363175000094487, 0.36119993333942024, 0.2557645684146896, 0.23547270689954766, 0.2475311238413103, 0.3718670292381424, 0.42536404252234084]","[243.0840123905014, 241.3391558776621, 212.72381250070865, 270.8999500045652, 191.8234263110172, 176.60453017466074, 185.6483428809827, 278.9002719286068, 319.02303189175564]","[2.153458097966107, 2.1095693779904305, 2.018181818181818, 2.0875, 2.086363636363637, 2.0066433566433566, 2.001809060504713, 2.186013986013986, 2.4272727272727272]",2120.0465339604634,2.4272727272727272,2.7284841053187847e-12,4.042198674546348e-16,1.286992554932467e-15,"[0.12576700001955032, 0.49697898514568806, 0.1198441032320261, 0.116744514554739, 0.11816906742751598, 0.12888536602258682, 0.49793969094753265, 0.11618653126060963, 0.11903064884245396]","[3.7967848517000675, 21.039310155436397, 5.198472475633025, 12.229859793558717, 9.790580239146948, 19.83979274146259, 1.0445086229592562, 22.90029046498239, 71.7416106723249]",,,,,915.0,915.0,172.142815772444,0.0,0.9376495529308212
60,9,150,6750,750,-1,10,18,1813.0614477265624,"[1.4524433817714453, 2.7602651584893465]","[8.392327968031168, 1800.4564112182707]",TIME_LIMIT,932.0,933.0,10,"[750, 750, 750, 750, 750, 750, 750, 745, 740, 15]",0.999774701382171,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.999955577559733, 1.0, 0.9996722690544773, 0.9981022174598797, 0.2966590194972195]",0.2966590194972195,0.00363267747868,0.0053116655062071,"[0.19221301896044463, 0.17328943323394125, 0.2325849546461674, 0.14040034952334726, 0.1035725787899701, 0.1195212231831225, 0.2003165189543908, 0.14680955731216436, 0.1475506657750651, 0.0]","[144.15976422033347, 129.96707492545593, 174.43871598462556, 105.30026214251045, 77.67943409247758, 89.64091738734187, 150.2373892157931, 109.37312019756244, 109.18749267354818, 0.0]","[1.7999999999999996, 2.2, 2.0791666666666666, 1.6950657894736842, 1.5666666666666669, 1.8, 1.6759316770186339, 1.6, 1.6583333333333332, 1.0]",1090.296670839649,2.2,0.3125000000004547,4.6296296296363664e-05,0.0002866192370921,"[0.1544544529169798, 0.15675636753439903, 0.606390792876482, 0.16210750676691532, 0.15996316261589527, 0.1583590004593134, 0.5934173688292503, 0.15769780427217484, 0.1449788101017475, 0.0041213687509298325]","[3.6935819759964943, 25.29630507528782, 19.266226967796683, 6.908240428194404, 6.3002311270684, 17.49271911382675, 28.67645997926593, 5.547450197860599, 12.44402639195323, 0.0024056676775217056]",,,,,933.0,933.0,130.7021204587072,0.0,13.871706452531228
60,9,150,6750,750,-1,10,19,1637.235379397869,[1.9989194013178349],[1635.2364599965513],OPTIMAL,935.0,935.0,9,"[750, 750, 750, 750, 750, 750, 750, 750, 750]",0.99997747829839,"[0.9999581820311945, 0.9999519171058723, 1.0, 0.9999579425484021, 0.9999450552449247, 0.9998832021845525, 1.0, 0.999935179483805, 0.9999608180892015]",0.9998832021845524,6.427915518824611e-06,0.0047502688580142,"[0.3543796597927034, 0.32479103861108505, 0.41104643885526243, 0.21577433396534218, 0.3102561556626369, 0.24802842785022414, 0.29526436038162046, 0.3103599246613952, 0.25016702327886525]","[265.78474484452755, 243.5932789583138, 308.28482914144683, 161.83075047400663, 232.6921167469777, 186.0213208876681, 221.44827028621535, 232.76994349604644, 187.62526745914894]","[2.1, 2.079411764705882, 2.6, 2.1545454545454548, 2.175, 1.867391304347826, 2.4, 2.0, 1.9]",2040.050522294358,2.6,6.821210263296962e-12,1.010549668636587e-15,3.343647713009624e-15,"[0.5234848186373711, 0.1166945118457079, 0.11321650445461273, 0.11501883901655674, 0.1118202768266201, 0.5248027108609676, 0.11572754569351673, 0.11761748418211937, 0.11714829877018929]","[13.287918085232377, 24.3042299374938, 22.272614469751716, 2.2626610323786736, 8.253430986776948, 3.466159289702773, 15.520717427134514, 5.378490466624498, 92.53852725028992]",,,,,935.0,935.0,191.8016818035394,0.0,8.53608458488322
