n,seed,time
90,86,0.3975990656763315
90,87,0.15859254263341427
90,88,0.23977228067815304
90,89,0.31411504931747913
95,90,0.3576575070619583
95,91,0.3852700237184763
95,92,0.28187159821391106
95,93,0.27046484127640724
95,94,1.5461958423256874
95,95,0.33732851035892963
95,96,0.6190641708672047
95,97,0.2638039719313383
95,98,0.5169238075613976
95,99,0.2291376292705536
100,100,0.2098737396299839
100,101,1.0708993468433619
100,102,0.3701675068587065
100,103,0.6685378719121218
100,104,0.350742282345891
100,105,0.5711696371436119
100,106,0.7328494004905224
100,107,0.5776652358472347
100,108,0.36814283579587936
100,109,1.196144688874483
105,110,0.2504811678081751
105,111,0.4342448879033327
105,112,0.9030912294983864
105,113,0.34753519482910633
105,114,0.41058535873889923
105,115,0.47982584312558174
105,116,1.2020816560834646
105,117,0.9791420996189117
105,118,0.3211910519748926
105,119,0.45921625941991806
110,120,0.4641687944531441
110,121,0.8318285197019577
110,122,1.1116630509495735
110,123,0.37120579183101654
110,124,1.60499894246459
110,125,1.1354141309857368
110,126,1.987623630091548
110,127,1.269428737461567
110,128,0.33439317531883717
110,129,0.43494112230837345
115,130,1.3959138318896294
115,131,1.4617420602589846
115,132,1.0664666499942541
115,133,1.479677204042673
115,134,0.26786585338413715
115,135,1.5211284440010786
115,136,1.4176944326609373
115,137,0.8818591106683016
115,138,0.4449106343090534
115,139,1.7577568478882313
120,140,0.5111031346023083
120,141,3.032125424593687
120,142,1.2110262382775545
120,143,1.1967346407473087
120,144,2.8155059348791838
120,145,0.40883139707148075
120,146,0.6284802444279194
120,147,0.39330398477613926
120,148,6.749089889228344
120,149,2.447475215420127
125,150,3.0328099466860294
125,151,1.66271947696805
125,152,8.950150206685066
125,153,0.9451287444680929
125,154,4.742334833368659
125,155,2.9654230754822493
125,156,1.3284436333924532
125,157,1.9615885205566883
125,158,2.2491844166070223
125,159,21.564133368432522
130,160,2.952660435810685
130,161,7.268325546756387
130,162,13.99826874397695
130,163,1.1058241799473763
130,164,0.8003977667540312
130,165,1.357956113293767
130,166,0.705421632155776
130,167,2.6410215999931097
130,168,1.3174104038625956
130,169,1.7516373433172703
135,170,3.7288469653576612
135,171,2.132859895005822
135,172,6.13752718642354
135,173,12.427722372114658
135,174,1.406029924750328
135,175,2.4055541660636663
135,176,2.9473537169396877
135,177,2.642589034512639
135,178,2.7142509557306767
135,179,11.730467205867171
140,180,1.4211996551603079
140,181,11.161146400496364
140,182,3.2156421206891537
140,183,3.1289266403764486
140,184,12.289582779631019
140,185,12.489627009257674
140,186,2.3563432283699512
140,187,1.8276494983583689
140,188,3.79870125092566
140,189,8.362767685204744
145,190,2.8949911929666996
145,191,2.8846722692251205
145,192,9.554282130673528
145,193,13.883350722491741
145,194,8.5376777946949
145,195,5.15684812143445
145,196,37.33457847498357
145,197,15.29103141091764
145,198,44.406978921964765
145,199,2.9362328238785267
150,200,142.4283669795841
150,201,5.492673899978399
150,202,13.64114854298532
150,203,1.223740229383111
150,204,122.61919542402029
150,205,5.886777283623815
150,206,3.7949420884251595
150,207,10.092304706573486
150,208,16.511501668021083
150,209,2.781293861567974
155,210,2.076114082708955
155,211,231.7206835169345
155,212,13.565078781917691
155,213,11.964304493740201
155,214,5.461128948256373
155,215,298.8752283062786
155,216,21.107367195189
155,217,35.67822045274079
155,218,2.1395160388201475
155,219,6.243731422349811
160,220,74.29155068472028
160,221,109.70333447493613
160,222,4.502749083563685
160,223,82.9060618840158
160,224,58.932067822664976
160,225,660.1101074423641
160,226,136.55328313447535
160,227,2.2496896516531706
160,228,19.51949494332075
160,229,428.35849068313837
165,230,11.744648614898324
165,231,41.754990419372916
165,232,20.796787101775408
165,233,142.95508121326566
165,234,162.34380277618766
165,235,350.2988209668547
165,236,11.881660401821136
165,237,12.5867900531739
165,238,167.33419412747025
165,239,167.18971150927246
170,240,1375.9940965995193
170,241,1800.2337835486978
170,242,28.97318318299949
170,243,12.53207352757454
170,244,21.92494433745742
170,245,95.52474689856172
170,246,53.25739347562194
170,247,12.395443664863706
170,248,46.394012901932
170,249,135.30439219251275
175,250,1800.2360950987786
175,251,5.022836692631245
175,252,1800.2329969964921
175,253,40.85017423518002
175,254,100.13934442028403
175,255,1800.2347130514681
175,256,410.63730981200933
175,257,1800.3144221846014
175,258,157.39982544630766
175,259,17.31778447702527
180,260,399.1875016912818
180,261,1800.2412895038724
180,262,133.57039066031575
180,263,1800.1471311096102
180,264,192.7449051104486
180,265,904.866268273443
180,266,361.6483266763389
180,267,764.8387686479837
180,268,284.14032382145524
180,269,1800.2426483556628
185,270,1800.2346212286502
185,271,1800.1743923686445
185,272,1800.219978991896
185,273,1800.233339311555
185,274,1800.2332871556282
185,275,18.947494257241488
185,276,1766.2449566144496
185,277,1800.2431110087782
185,278,1800.6887381710112
185,279,1800.2422857452184
190,280,1800.2312865685672
190,281,1800.3156211562455
190,282,1800.233970945701
190,283,313.4333536978811
190,284,1800.2372915837914
190,285,1800.6237947959453
190,286,1800.3137835580856
190,287,1800.6377669647336
190,288,1800.1499368958175
