grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,20,2.5809930108953267,[0.5205526179634035],[2.0604403929319233],OPTIMAL,100.0,100.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.0073020710720347855,"[0.12291030441343404, 0.16507087064981796]","[61.45515220671702, 82.53543532490897]","[1.6222689075630252, 1.7765734265734268]",143.99058753162603,1.7765734265734268,5.684341886080802e-14,5.684341886080802e-17,3.947717683138711e-16,"[0.3467480919789523, 0.1817798069678247]","[0.34880970302037895, 2.8217547240201384]",,,,,,100.0,100.0,4.330567713128403,0.0,0.59599414715786
40,2,100,1000,5,500,-2,10,21,0.7111421662848443,[0.2642870631534606],[0.44685510313138366],OPTIMAL,93.0,93.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.00801935481995671,"[0.13234697940947937, 0.17910602601844697]","[66.17348970473968, 89.55301300922348]","[1.6875, 2.1]",155.72650271396313,2.1,0.0,0.0,0.0,"[0.19369873497635126, 0.08536920207552612]","[0.2949707468505949, 0.3602182320319116]",,,,,,93.0,93.0,1.2797984359785914,0.0,0.5556673193939896
40,2,100,1000,5,500,-2,10,22,1.455627353861928,[0.34945768187753856],[1.1061696719843894],OPTIMAL,104.0,104.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.009109269522674277,"[0.1442459007495773, 0.18001199494949488]","[72.12295037478864, 90.00599747474745]","[1.5, 1.95]",162.1289478495361,1.95,2.842170943040401e-14,2.842170943040401e-17,1.7530311401641548e-16,"[0.08023394108749926, 0.19977216911502182]","[0.8102994980290532, 0.2331720849033445]",,,,,,104.0,104.0,1.6690854141488671,0.0,0.8721107628899928
40,2,100,1000,5,500,-2,10,23,0.6802838989533484,[0.2829854800365865],[0.3972984189167619],OPTIMAL,110.0,110.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.009188757532560803,"[0.09321310098999727, 0.15862074730824727]","[46.606550494998636, 79.31037365412364]","[1.609090909090909, 1.65]",125.91692414912225,1.65,0.0,0.0,0.0,"[0.09059159713797271, 0.20128094614483416]","[0.27774448599666357, 0.45968389487825334]",,,,,,110.0,110.0,1.4976014692801982,0.0,0.45424895268052695
40,2,100,1000,5,500,-2,10,24,0.6183138177730143,[0.27807289082556963],[0.3402409269474447],OPTIMAL,114.0,114.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.005274790215035601,"[0.07753378260325697, 0.1157209870443566]","[38.76689130162848, 57.8604935221783]","[1.7763285024154587, 1.8954545454545453]",96.62738482380678,1.8954545454545453,0.0,0.0,0.0,"[0.18246526992879808, 0.08709579799324274]","[0.2761058839969337, 0.34668134222738445]",,,,,,114.0,114.0,1.235293417936191,0.0,0.5005400407670214
40,2,100,1000,5,500,-2,10,25,2.1030392521061003,[0.2686807941645384],[1.834358457941562],OPTIMAL,63.0,63.0,2,"[500, 500]",0.9999994490285914,"[0.9999987943226006, 0.999998985356617]",0.9999987943226006,1.0005866343341795e-07,0.006718738234193409,"[0.1287322602624713, 0.15127887076056412]","[64.36613013123565, 75.63943538028207]","[1.7227272727272727, 1.9]",140.0055655115177,1.9,0.0,0.0,0.0,"[0.2004395618569106, 0.0868062088266015]","[0.10576235293410718, 2.3226575350854546]",,,,,,63.0,63.0,3.0659883476328105,0.0,0.6859253896805628
40,2,100,1000,5,500,-2,10,26,0.5101656918413937,[0.27369508193805814],[0.23647060990333557],OPTIMAL,78.0,78.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.0063890497796400105,"[0.12417984083358799, 0.0784091753656971]","[62.089920416793994, 39.20458768284855]","[2.0, 1.653846153846154]",101.2945080996426,2.0,5.684341886080802e-14,5.684341886080802e-17,5.611698000875865e-16,"[0.0858685050625354, 0.20288532692939043]","[0.19250479503534734, 0.1115264231339097]",,,,,,78.0,78.0,0.9381233311723918,0.0,0.5438151625584552
40,2,100,1000,5,500,-2,10,27,0.5865163570269942,[0.2943652938120067],[0.2921510632149875],OPTIMAL,52.0,52.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.006017949177257066,"[0.05787081252118604, 0.12522979407073834]","[28.93540626059302, 62.61489703536917]","[1.6526315789473685, 1.6605263157894736]",91.55030329596218,1.6605263157894736,0.0,0.0,0.0,"[0.20070809312164783, 0.08623277908191085]","[0.1946858239825815, 0.14867895492352545]",,,,,,52.0,52.0,0.9774331301450729,0.0,0.6000577829195763
40,2,100,1000,5,500,-2,10,28,1.958652454894036,[0.26291450299322605],[1.69573795190081],OPTIMAL,109.0,109.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.010524367873193519,"[0.17721829710144932, 0.21323108616529665]","[88.60914855072465, 106.61554308264833]","[1.8, 1.990909090909091]",195.22469163337308,1.990909090909091,1.1368683772161603e-13,1.1368683772161603e-16,5.823384161596456e-16,"[0.0849071980919689, 0.08523067808710039]","[0.7462366491090506, 0.5763589800335467]",,,,,,109.0,109.0,1.9438352473080158,0.0,1.0076226663790258
40,2,100,1000,5,500,-2,10,29,2.8149084767792374,[0.27842116192914546],[2.536487314850092],OPTIMAL,85.0,85.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.005992679552500391,"[0.1865187678463608, 0.04374336056026054]","[93.2593839231804, 21.87168028013027]","[1.95, 1.509090909090909]",115.13106420331069,1.95,1.4210854715202004e-14,1.4210854715202004e-17,1.2343197566543406e-16,"[0.08705934789031744, 0.1996287601068616]","[1.966826728079468, 0.12580023100599647]",,,,,,85.0,85.0,2.726887449156493,0.0,1.0322789367965928
40,2,100,1000,5,500,-2,10,30,0.7814488501753658,[0.276306577026844],[0.5051422731485218],OPTIMAL,72.0,72.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.005858161570141021,"[0.12034710754931346, 0.1421554000050517]","[60.17355377465673, 71.07770000252584]","[1.686607142857143, 1.55]",131.2512537771826,1.686607142857143,2.842170943040401e-14,2.842170943040401e-17,2.1654428900494393e-16,"[0.08437010087072849, 0.1967371751088649]","[0.1348070940002799, 0.4603549570310861]",,,,,,72.0,72.0,1.2258151161950082,0.0,0.6374932400907426
40,2,100,1000,5,500,-2,10,31,0.623295757221058,[0.2690118351019919],[0.3542839221190661],OPTIMAL,81.0,81.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.005417044404565291,"[0.13661111111111116, 0.10787159746428324]","[68.30555555555557, 53.93579873214162]","[1.6, 1.7]",122.24135428769719,1.7,0.0,0.0,0.0,"[0.19114468502812088, 0.08438562881201506]","[0.19439692189916968, 0.2308388699311763]",,,,,,81.0,81.0,1.0533048128709197,0.0,0.5917525008949538
