n,seed,time
850,322,3.348384214565158
850,323,1800.1597776301205
850,324,1800.069491384551
850,325,1800.058396037668
850,326,1800.1506282910705
850,327,1.4105300586670637
850,328,1800.070471310988
850,329,10.710034316405654
875,330,788.171512266621
875,331,46.43591361679137
875,332,24.332978785037994
875,333,15.783321745693684
875,334,10.574618306010962
875,335,816.8667434100062
875,336,596.5228054951876
875,337,18.66679839603603
875,338,503.9857340157032
875,339,5.695777589455247
900,340,0.8935965225100517
900,341,4.095648569986224
900,342,26.77942574210465
900,343,2.254332924261689
900,344,1.641754424199462
900,345,5.047407642006874
900,346,20.202031021937728
900,347,12.445986993610859
900,348,0.9322914909571409
900,349,11.12836154922843
925,350,11.15423115156591
925,351,6.52216437458992
925,352,1800.0714724361897
925,353,6.290097260847688
925,354,11.669673655182123
925,355,3.3245425205677748
925,356,1800.0874348320067
925,357,1800.0631359461695
925,358,3.466007798910141
925,359,1800.0839643105865
